FID_1,OBJECTID,STATION_ID,STATION_NA,WATERBODY_,COMMENTS,LATITUDE,LONGITUDE,RESULT_COU,BEGIN_DATE,END_DATE,TMDL_RUN,WATER_QUAL,BIOLOGY_ST,FID_2,FID_TidalC,OBJECTID_1,Name,CreekID,Total_m,FID_WBID_R,OBJECTID_2,FID_Master,HUC,WBID,DISTRICT,PLANUNIT,GROUP_NUM,GROUP_NAME,BASIN_1,WBUNIT,BODY,CLASS,CHANGES,WBID_Edits,Miles,ParentWBID,areaPH,Acres,Shape_Leng,Shape_Area,Distance
1963,82150,21FLSWFD764239,LBM2009081910,2052,"New Station assigned to 2052, Run 44 - P.Homann; Lat/Longs updated based on values in WIN, Run 58 - R.Stuart",26.93017000000,-82.33517000000,13.00000000000,2009.00000000000,2009.00000000000,Run 44,1.00000000000,0.00000000000,0,0,1,Rock Creek,CC01,6443.08290956000,5391,5282,2652,03100201,2052,SD,Lemon Bay,Group 2,Charlotte Harbor,ROCK CREEK,sq. miles,ESTUARY,3M,,"WBID modified, Run 42 - B.Ralys",0.18067000000,,19571120.36850000000,4836.12916439000,26423.82176010000,19571120.36850000000,70.02238425
1981,82193,21FLSWFD764363,LBM2009102010,2052,"New Station assigned to 2052, Run 44 - P.Homann; Lat/Longs updated based on values in WIN, Run 58 - R.Stuart",26.93033000000,-82.33500000000,13.00000000000,2009.00000000000,2009.00000000000,Run 44,1.00000000000,0.00000000000,0,0,1,Rock Creek,CC01,6443.08290956000,5391,5282,2652,03100201,2052,SD,Lemon Bay,Group 2,Charlotte Harbor,ROCK CREEK,sq. miles,ESTUARY,3M,,"WBID modified, Run 42 - B.Ralys",0.18067000000,,19571120.36850000000,4836.12916439000,26423.82176010000,19571120.36850000000,51.15181007
1982,82194,21FLSWFD764364,LBM2009102011,2052,"New Station assigned to 1983B, Run 44 - P.Homann; Reassigned from 1983B to 2052, Run 48 - P.Homann",26.93000000000,-82.33784000000,13.00000000000,2009.00000000000,2009.00000000000,Run 44,1.00000000000,0.00000000000,0,0,1,Rock Creek,CC01,6443.08290956000,5391,5282,2652,03100201,2052,SD,Lemon Bay,Group 2,Charlotte Harbor,ROCK CREEK,sq. miles,ESTUARY,3M,,"WBID modified, Run 42 - B.Ralys",0.18067000000,,19571120.36850000000,4836.12916439000,26423.82176010000,19571120.36850000000,14.36172424
1994,82221,21FLSWFD764484,LBM2009121808,2052,"New Station assigned to 1983B, Run 44 - P.Homann; Reassigned from 1983B to 2052, Run 48 - P.Homann; Lat/Longs updated based on values in WIN, Run 58 - R.Stuart",26.92933000000,-82.33817000000,8.00000000000,2009.00000000000,2009.00000000000,Run 44,1.00000000000,0.00000000000,0,0,1,Rock Creek,CC01,6443.08290956000,5391,5282,2652,03100201,2052,SD,Lemon Bay,Group 2,Charlotte Harbor,ROCK CREEK,sq. miles,ESTUARY,3M,,"WBID modified, Run 42 - B.Ralys",0.18067000000,,19571120.36850000000,4836.12916439000,26423.82176010000,19571120.36850000000,56.86975375
2003,82244,21FLSWFD764507,LBM2010021610,2052,"New Station assigned to 2052, Run 44 - P.Homann",26.93050000000,-82.33483000000,13.00000000000,2010.00000000000,2010.00000000000,Run 44,1.00000000000,0.00000000000,0,0,1,Rock Creek,CC01,6443.08290956000,5391,5282,2652,03100201,2052,SD,Lemon Bay,Group 2,Charlotte Harbor,ROCK CREEK,sq. miles,ESTUARY,3M,,"WBID modified, Run 42 - B.Ralys",0.18067000000,,19571120.36850000000,4836.12916439000,26423.82176010000,19571120.36850000000,31.17351928
2004,82245,21FLSWFD764508,LBM2010021611,2052,"New Station assigned to 1983B, Run 44 - P.Homann; Reassigned from 1983B to 2052, Run 48 - P.Homann",26.93000000000,-82.33817000000,8.00000000000,2010.00000000000,2010.00000000000,Run 44,1.00000000000,0.00000000000,0,0,1,Rock Creek,CC01,6443.08290956000,5391,5282,2652,03100201,2052,SD,Lemon Bay,Group 2,Charlotte Harbor,ROCK CREEK,sq. miles,ESTUARY,3M,,"WBID modified, Run 42 - B.Ralys",0.18067000000,,19571120.36850000000,4836.12916439000,26423.82176010000,19571120.36850000000,4.26973393
2009,82260,21FLSWFD764610,LBM2010041606,1983B,"New Station assigned to 1983B, Run 44 - P.Homann",26.93050000000,-82.33883000000,13.00000000000,2010.00000000000,2010.00000000000,Run 44,1.00000000000,0.00000000000,0,0,1,Rock Creek,CC01,6443.08290956000,5391,5282,2652,03100201,2052,SD,Lemon Bay,Group 2,Charlotte Harbor,ROCK CREEK,sq. miles,ESTUARY,3M,,"WBID modified, Run 42 - B.Ralys",0.18067000000,,19571120.36850000000,4836.12916439000,26423.82176010000,19571120.36850000000,87.15897769
2017,82278,21FLSWFD764705,LBM2010041607,2052,"New Station assigned to 1983B, Run 44 - P.Homann; Reassigned from 1983B to 2052, Run 48 - P.Homann; Lat/Longs updated based on values in WIN, Run 58 - R.Stuart",26.92983000000,-82.33817000000,13.00000000000,2010.00000000000,2010.00000000000,Run 44,1.00000000000,0.00000000000,0,0,1,Rock Creek,CC01,6443.08290956000,5391,5282,2652,03100201,2052,SD,Lemon Bay,Group 2,Charlotte Harbor,ROCK CREEK,sq. miles,ESTUARY,3M,,"WBID modified, Run 42 - B.Ralys",0.18067000000,,19571120.36850000000,4836.12916439000,26423.82176010000,19571120.36850000000,11.24329885
1993,82220,21FLSWFD764483,LBM2009121807,1983B,"New Station assigned to 1983B, Run 44 - P.Homann; Lat/Longs updated based on values in WIN, Run 58 - R.Stuart",26.92983000000,-82.33967000000,13.00000000000,2009.00000000000,2009.00000000000,Run 44,1.00000000000,0.00000000000,1,0,1,Rock Creek,CC01,6443.08290956000,6260,6237,5195,03100201,1983B,SD,Lemon Bay,Group 2,Charlotte Harbor,LOWER LEMON BAY,sq. miles,ESTUARY,2,"Waterbody Name revised, Run 50 - D.Tyler","WBID modified, Run 42 - B.Ralys",5.49443000000,,17961925.39430000000,4438.48842643000,54018.52139300000,17961925.39430000000,87.55903037
2959,99073,CHNEPLLB517_092007,517_092007_WBID2052,1983B,Used NHD_WBID to assign wbids,26.92897000000,-82.34074000000,20.00000000000,2007.00000000000,2007.00000000000,Run 38,1.00000000000,0.00000000000,1,0,1,Rock Creek,CC01,6443.08290956000,6260,6237,5195,03100201,1983B,SD,Lemon Bay,Group 2,Charlotte Harbor,LOWER LEMON BAY,sq. miles,ESTUARY,2,"Waterbody Name revised, Run 50 - D.Tyler","WBID modified, Run 42 - B.Ralys",5.49443000000,,17961925.39430000000,4438.48842643000,54018.52139300000,17961925.39430000000,89.64143569
1950,82124,21FLSWFD764155,LBM2009062610,1983B,"New Station assigned to 1983B, Run 44 - P.Homann; Lat/Longs updated based on values in WIN, Run 58 - R.Stuart",26.92099000000,-82.33334000000,13.00000000000,2009.00000000000,2009.00000000000,Run 44,1.00000000000,0.00000000000,2,1,2,Oyster Creek,CC02,10175.16664410000,6260,6237,5195,03100201,1983B,SD,Lemon Bay,Group 2,Charlotte Harbor,LOWER LEMON BAY,sq. miles,ESTUARY,2,"Waterbody Name revised, Run 50 - D.Tyler","WBID modified, Run 42 - B.Ralys",5.49443000000,,17961925.39430000000,4438.48842643000,54018.52139300000,17961925.39430000000,23.32143510
1964,82152,21FLSWFD764241,LBM2009081912,1983B,"New Station assigned to 2067, Run 44 - P.Homann; Reassigned from 2067 to 1983B, Run 50 - D.Tyler; Lat/Longs updated based on values in WIN, Run 58 - R.Stuart",26.92183000000,-82.33517000000,13.00000000000,2009.00000000000,2009.00000000000,Run 44,1.00000000000,0.00000000000,2,1,2,Oyster Creek,CC02,10175.16664410000,6260,6237,5195,03100201,1983B,SD,Lemon Bay,Group 2,Charlotte Harbor,LOWER LEMON BAY,sq. miles,ESTUARY,2,"Waterbody Name revised, Run 50 - D.Tyler","WBID modified, Run 42 - B.Ralys",5.49443000000,,17961925.39430000000,4438.48842643000,54018.52139300000,17961925.39430000000,154.52314010
1983,82195,21FLSWFD764365,LBM2009102012,1983B,"New Station assigned to 1983B, Run 44 - P.Homann",26.92150000000,-82.33417000000,13.00000000000,2009.00000000000,2009.00000000000,Run 44,1.00000000000,0.00000000000,2,1,2,Oyster Creek,CC02,10175.16664410000,6260,6237,5195,03100201,1983B,SD,Lemon Bay,Group 2,Charlotte Harbor,LOWER LEMON BAY,sq. miles,ESTUARY,2,"Waterbody Name revised, Run 50 - D.Tyler","WBID modified, Run 42 - B.Ralys",5.49443000000,,17961925.39430000000,4438.48842643000,54018.52139300000,17961925.39430000000,71.78653339
1984,82196,21FLSWFD764366,LBM2009102013,1983B,"New Station assigned to 1983B, Run 44 - P.Homann",26.92100000000,-82.33300000000,13.00000000000,2009.00000000000,2009.00000000000,Run 44,1.00000000000,0.00000000000,2,1,2,Oyster Creek,CC02,10175.16664410000,6260,6237,5195,03100201,1983B,SD,Lemon Bay,Group 2,Charlotte Harbor,LOWER LEMON BAY,sq. miles,ESTUARY,2,"Waterbody Name revised, Run 50 - D.Tyler","WBID modified, Run 42 - B.Ralys",5.49443000000,,17961925.39430000000,4438.48842643000,54018.52139300000,17961925.39430000000,43.04760329
2002,82243,21FLSWFD764506,LBM2010021609,1983B,"New Station assigned to 1983B, Run 44 - P.Homann; Lat/Longs updated based on values in WIN, Run 58 - R.Stuart",26.91983000000,-82.33400000000,13.00000000000,2010.00000000000,2010.00000000000,Run 44,1.00000000000,0.00000000000,2,1,2,Oyster Creek,CC02,10175.16664410000,6260,6237,5195,03100201,1983B,SD,Lemon Bay,Group 2,Charlotte Harbor,LOWER LEMON BAY,sq. miles,ESTUARY,2,"Waterbody Name revised, Run 50 - D.Tyler","WBID modified, Run 42 - B.Ralys",5.49443000000,,17961925.39430000000,4438.48842643000,54018.52139300000,17961925.39430000000,86.98216908
2960,99079,CHNEPLLB518_031004,518_031004_WBID2067,1983B,Used NHD_WBID to assign wbids,26.92145000000,-82.33290000000,34.00000000000,2004.00000000000,2004.00000000000,Run 38,1.00000000000,0.00000000000,2,1,2,Oyster Creek,CC02,10175.16664410000,6260,6237,5195,03100201,1983B,SD,Lemon Bay,Group 2,Charlotte Harbor,LOWER LEMON BAY,sq. miles,ESTUARY,2,"Waterbody Name revised, Run 50 - D.Tyler","WBID modified, Run 42 - B.Ralys",5.49443000000,,17961925.39430000000,4438.48842643000,54018.52139300000,17961925.39430000000,9.57112617
2961,99080,CHNEPLLB518_031507,518_031507_WBID2067,1983B,"j hand 9/2007  BR; Lat/Longs updated based on values in WIN, Run 58 - R.Stuart",26.92193000000,-82.33231000000,24.00000000000,2007.00000000000,2007.00000000000,,1.00000000000,0.00000000000,2,1,2,Oyster Creek,CC02,10175.16664410000,6260,6237,5195,03100201,1983B,SD,Lemon Bay,Group 2,Charlotte Harbor,LOWER LEMON BAY,sq. miles,ESTUARY,2,"Waterbody Name revised, Run 50 - D.Tyler","WBID modified, Run 42 - B.Ralys",5.49443000000,,17961925.39430000000,4438.48842643000,54018.52139300000,17961925.39430000000,25.78668730
2962,99081,CHNEPLLB518_032008,518_032008_WBID2067,1983B,Used NHD_WBID to assign wbids,26.92157000000,-82.33262000000,22.00000000000,2008.00000000000,2008.00000000000,Run 38,1.00000000000,0.00000000000,2,1,2,Oyster Creek,CC02,10175.16664410000,6260,6237,5195,03100201,1983B,SD,Lemon Bay,Group 2,Charlotte Harbor,LOWER LEMON BAY,sq. miles,ESTUARY,2,"Waterbody Name revised, Run 50 - D.Tyler","WBID modified, Run 42 - B.Ralys",5.49443000000,,17961925.39430000000,4438.48842643000,54018.52139300000,17961925.39430000000,5.90973480
2963,99082,CHNEPLLB518_032503,518_032503_WBID2067,1983B,Used NHD_WBID to assign wbids,26.92148000000,-82.33290000000,34.00000000000,2003.00000000000,2003.00000000000,Run 38,1.00000000000,0.00000000000,2,1,2,Oyster Creek,CC02,10175.16664410000,6260,6237,5195,03100201,1983B,SD,Lemon Bay,Group 2,Charlotte Harbor,LOWER LEMON BAY,sq. miles,ESTUARY,2,"Waterbody Name revised, Run 50 - D.Tyler","WBID modified, Run 42 - B.Ralys",5.49443000000,,17961925.39430000000,4438.48842643000,54018.52139300000,17961925.39430000000,6.93533475
2964,99083,CHNEPLLB518_042204,518_042204_WBID2067,1983B,Used NHD_WBID to assign wbids,26.92105000000,-82.33320000000,41.00000000000,2004.00000000000,2004.00000000000,Run 38,1.00000000000,0.00000000000,2,1,2,Oyster Creek,CC02,10175.16664410000,6260,6237,5195,03100201,1983B,SD,Lemon Bay,Group 2,Charlotte Harbor,LOWER LEMON BAY,sq. miles,ESTUARY,2,"Waterbody Name revised, Run 50 - D.Tyler","WBID modified, Run 42 - B.Ralys",5.49443000000,,17961925.39430000000,4438.48842643000,54018.52139300000,17961925.39430000000,26.53423519
2966,99086,CHNEPLLB518_081902,518_081902_WBID2067,1983B,Used NHD_WBID to assign wbids,26.92192000000,-82.33225000000,26.00000000000,2002.00000000000,2002.00000000000,Run 38,1.00000000000,0.00000000000,2,1,2,Oyster Creek,CC02,10175.16664410000,6260,6237,5195,03100201,1983B,SD,Lemon Bay,Group 2,Charlotte Harbor,LOWER LEMON BAY,sq. miles,ESTUARY,2,"Waterbody Name revised, Run 50 - D.Tyler","WBID modified, Run 42 - B.Ralys",5.49443000000,,17961925.39430000000,4438.48842643000,54018.52139300000,17961925.39430000000,21.17556346
2967,99087,CHNEPLLB518_101807,518_101807_WBID2067,1983B,Used NHD_WBID to assign wbids,26.92112000000,-82.33331000000,26.00000000000,2007.00000000000,2007.00000000000,Run 38,1.00000000000,0.00000000000,2,1,2,Oyster Creek,CC02,10175.16664410000,6260,6237,5195,03100201,1983B,SD,Lemon Bay,Group 2,Charlotte Harbor,LOWER LEMON BAY,sq. miles,ESTUARY,2,"Waterbody Name revised, Run 50 - D.Tyler","WBID modified, Run 42 - B.Ralys",5.49443000000,,17961925.39430000000,4438.48842643000,54018.52139300000,17961925.39430000000,13.71782364
2969,99089,CHNEPLLB518_102104,518_102104_WBID2067,1983B,Used NHD_WBID to assign wbids,26.92108000000,-82.33320000000,34.00000000000,2004.00000000000,2004.00000000000,Run 38,1.00000000000,0.00000000000,2,1,2,Oyster Creek,CC02,10175.16664410000,6260,6237,5195,03100201,1983B,SD,Lemon Bay,Group 2,Charlotte Harbor,LOWER LEMON BAY,sq. miles,ESTUARY,2,"Waterbody Name revised, Run 50 - D.Tyler","WBID modified, Run 42 - B.Ralys",5.49443000000,,17961925.39430000000,4438.48842643000,54018.52139300000,17961925.39430000000,23.89838157
2970,99090,CHNEPLLB518_102606,518_102606_WBID2067,1983B,"j hand 9/2007  BR; Lat/Longs updated based on values in WIN, Run 58 - R.Stuart",26.92147000000,-82.33282000000,26.00000000000,2006.00000000000,2006.00000000000,,1.00000000000,0.00000000000,2,1,2,Oyster Creek,CC02,10175.16664410000,6260,6237,5195,03100201,1983B,SD,Lemon Bay,Group 2,Charlotte Harbor,LOWER LEMON BAY,sq. miles,ESTUARY,2,"Waterbody Name revised, Run 50 - D.Tyler","WBID modified, Run 42 - B.Ralys",5.49443000000,,17961925.39430000000,4438.48842643000,54018.52139300000,17961925.39430000000,7.96160258
2971,99091,CHNEPLLB518_102705,518_102705_WBID2067,1983B,"J Hand  3/25/2007  BR; Lat/Longs updated based on values in WIN, Run 58 - R.Stuart",26.92117000000,-82.33320000000,29.00000000000,2005.00000000000,2005.00000000000,,1.00000000000,0.00000000000,2,1,2,Oyster Creek,CC02,10175.16664410000,6260,6237,5195,03100201,1983B,SD,Lemon Bay,Group 2,Charlotte Harbor,LOWER LEMON BAY,sq. miles,ESTUARY,2,"Waterbody Name revised, Run 50 - D.Tyler","WBID modified, Run 42 - B.Ralys",5.49443000000,,17961925.39430000000,4438.48842643000,54018.52139300000,17961925.39430000000,15.99116391
37,1970,112WRD  02299678,OYSTER CREEK NEAR ENGLEWOOD FL,2067,"Assigned to 2067, Run 44 - P.Homann; Lat/Longs updated based on values from USGS, Run 58 - R.Stuart",26.93451000000,-82.30287000000,158.00000000000,1962.00000000000,1967.00000000000,,1.00000000000,0.00000000000,3,1,2,Oyster Creek,CC02,10175.16664410000,6274,6252,2660,03100201,2067,SD,Lemon Bay,Group 2,Charlotte Harbor,OYSTER CREEK,sq. miles,ESTUARY,3M,,"WBID modified, Run 42 - B.Ralys",0.10420000000,,13066659.43780000000,3228.84186487000,16904.10964620000,13066659.43780000000,26.13179973
221,8974,21FLA   24010599,OYSTER CREEK AT SR775,2067,,26.92250000000,-82.33190000000,135.00000000000,1972.00000000000,1996.00000000000,,1.00000000000,0.00000000000,3,1,2,Oyster Creek,CC02,10175.16664410000,6274,6252,2660,03100201,2067,SD,Lemon Bay,Group 2,Charlotte Harbor,OYSTER CREEK,sq. miles,ESTUARY,3M,,"WBID modified, Run 42 - B.Ralys",0.10420000000,,13066659.43780000000,3228.84186487000,16904.10964620000,13066659.43780000000,49.29243872
339,17614,21FLCHARLBOYS1,"Oyster Cr at 2424 Placida Rd., Englewood",2067,"Added 12/17/02;8/15/03 Chg WBID from 8054 Rob Perlowski; Lat/long updated based on values in Florida STORET, Run 50 - P.Homann; Lat/Longs updated based on values in WIN, Run 58 - R.Stuart",26.92275000000,-82.33172000000,2358.00000000000,1999.00000000000,2020.00000000000,,1.00000000000,0.00000000000,3,1,2,Oyster Creek,CC02,10175.16664410000,6274,6252,2660,03100201,2067,SD,Lemon Bay,Group 2,Charlotte Harbor,OYSTER CREEK,sq. miles,ESTUARY,3M,,"WBID modified, Run 42 - B.Ralys",0.10420000000,,13066659.43780000000,3228.84186487000,16904.10964620000,13066659.43780000000,59.59107948
724,27396,21FLFTM G2SD0036,Oyster Creek CM,2067,"New Station assigned to 2067, Run 56 - P.Homann",26.92481000000,-82.32164000000,96.00000000000,2018.00000000000,2018.00000000000,Run 56,1.00000000000,0.00000000000,3,1,2,Oyster Creek,CC02,10175.16664410000,6274,6252,2660,03100201,2067,SD,Lemon Bay,Group 2,Charlotte Harbor,OYSTER CREEK,sq. miles,ESTUARY,3M,,"WBID modified, Run 42 - B.Ralys",0.10420000000,,13066659.43780000000,3228.84186487000,16904.10964620000,13066659.43780000000,15.02128848
784,27846,21FLFTM SARABY0013FTM,Oyster Creek @ Via de Luna Boat Ramp~WB2067-1,2067,j hand 9/2007,26.92736000000,-82.31775000000,121.00000000000,2007.00000000000,2007.00000000000,,1.00000000000,0.00000000000,3,1,2,Oyster Creek,CC02,10175.16664410000,6274,6252,2660,03100201,2067,SD,Lemon Bay,Group 2,Charlotte Harbor,OYSTER CREEK,sq. miles,ESTUARY,3M,,"WBID modified, Run 42 - B.Ralys",0.10420000000,,13066659.43780000000,3228.84186487000,16904.10964620000,13066659.43780000000,3.49252031
785,27847,21FLFTM SARABY0014FTM,"Oyster Creek @ San Casa Blvd., Bridge #010084~WB2067-2",2067,j hand 9/2007,26.92769000000,-82.31172000000,121.00000000000,2007.00000000000,2007.00000000000,,1.00000000000,0.00000000000,3,1,2,Oyster Creek,CC02,10175.16664410000,6274,6252,2660,03100201,2067,SD,Lemon Bay,Group 2,Charlotte Harbor,OYSTER CREEK,sq. miles,ESTUARY,3M,,"WBID modified, Run 42 - B.Ralys",0.10420000000,,13066659.43780000000,3228.84186487000,16904.10964620000,13066659.43780000000,72.96104206
786,27848,21FLFTM SARABY0015FTM,Oyster Creek @ Blue Lagoon Restaurant~WB2067-3,2067,j hand 9/2007,26.92233000000,-82.32300000000,121.00000000000,2007.00000000000,2007.00000000000,,1.00000000000,0.00000000000,3,1,2,Oyster Creek,CC02,10175.16664410000,6274,6252,2660,03100201,2067,SD,Lemon Bay,Group 2,Charlotte Harbor,OYSTER CREEK,sq. miles,ESTUARY,3M,,"WBID modified, Run 42 - B.Ralys",0.10420000000,,13066659.43780000000,3228.84186487000,16904.10964620000,13066659.43780000000,48.48163518
787,27849,21FLFTM SARABY0016FTM,Oyster Creek @ 2140 Oyster Creek Dr.~WB2067-4,2067,j hand 9/2007,26.92164000000,-82.32300000000,121.00000000000,2007.00000000000,2007.00000000000,,1.00000000000,0.00000000000,3,1,2,Oyster Creek,CC02,10175.16664410000,6274,6252,2660,03100201,2067,SD,Lemon Bay,Group 2,Charlotte Harbor,OYSTER CREEK,sq. miles,ESTUARY,3M,,"WBID modified, Run 42 - B.Ralys",0.10420000000,,13066659.43780000000,3228.84186487000,16904.10964620000,13066659.43780000000,0.89339747
1951,82125,21FLSWFD764156,LBM2009062611,2067,"New Station assigned to 2067, Run 44 - P.Homann",26.92300000000,-82.33000000000,13.00000000000,2009.00000000000,2009.00000000000,Run 44,1.00000000000,0.00000000000,3,1,2,Oyster Creek,CC02,10175.16664410000,6274,6252,2660,03100201,2067,SD,Lemon Bay,Group 2,Charlotte Harbor,OYSTER CREEK,sq. miles,ESTUARY,3M,,"WBID modified, Run 42 - B.Ralys",0.10420000000,,13066659.43780000000,3228.84186487000,16904.10964620000,13066659.43780000000,26.33936948
1965,82153,21FLSWFD764242,LBM2009081913,2067,"New Station assigned to 2067, Run 44 - P.Homann; Lat/Longs updated based on values in WIN, Run 58 - R.Stuart",26.92417000000,-82.32917000000,13.00000000000,2009.00000000000,2009.00000000000,Run 44,1.00000000000,0.00000000000,3,1,2,Oyster Creek,CC02,10175.16664410000,6274,6252,2660,03100201,2067,SD,Lemon Bay,Group 2,Charlotte Harbor,OYSTER CREEK,sq. miles,ESTUARY,3M,,"WBID modified, Run 42 - B.Ralys",0.10420000000,,13066659.43780000000,3228.84186487000,16904.10964620000,13066659.43780000000,60.63298609
